epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,3.3574391097163092e-12,0.005125784315168858,0.9933054447174072,0.9933054447174072,0.9933052659034729,0.0,-1.3085534175324987e-13,7.084027239595211e-14,-1.3006511189422962e-16,2.6408871580042197e-15,4.786238137592658e-13,-0.00013085534737911075,7.084027311066166e-05,0.00047862378414720297,3.137539901407937e-05,2.205371856689453e-06,2.205371856689453e-06,0.0,0.0,0.0,0.0,anisotropic
1,3.3574317371415363e-12,0.0051257917657494545,0.9933076500892639,0.9933076500892639,0.9933078289031982,0.0,-1.3085444728645756e-13,7.084005555551762e-14,-1.3006278255362467e-16,2.6408689467958537e-15,4.786205069426397e-13,-0.0001308544451603666,7.084005483193323e-05,0.0004786204663105309,3.135819263971445e-05,1.9669532775878906e-06,1.9669532775878906e-06,0.0,0.0,0.0,0.0,anisotropic
2,3.3574260992902394e-12,0.005125799216330051,0.9933096170425415,0.9933096170425415,0.993309736251831,0.0,-1.3085395939547995e-13,7.08394118104777e-14,-1.3006221345336324e-16,2.640858358884013e-15,4.786185553787292e-13,-0.00013085396494716406,7.083941454766318e-05,0.0004786185745615512,3.134297015921826e-05,1.8477439880371094e-06,1.8477439880371094e-06,0.0,0.0,0.0,0.0,anisotropic
3,3.357421111960246e-12,0.005125804804265499,0.9933114647865295,0.9933114647865295,0.9933116436004639,0.0,-1.308535121620838e-13,7.083882227554641e-14,-1.300617502322202e-16,2.6408498885545405e-15,4.786169832855791e-13,-0.00013085351383779198,7.083882519509643e-05,0.0004786169738508761,3.13289823777747e-05,1.7285346984863281e-06,1.7285346984863281e-06,0.0,0.0,0.0,0.0,anisotropic
4,3.357414606747211e-12,0.005125811323523521,0.993313193321228,0.993313193321228,0.9933130741119385,0.0,-1.3085279387814452e-13,7.083870707906559e-14,-1.3005963264985207e-16,2.6408340066867795e-15,4.786141643599306e-13,-0.0001308528007939458,7.08387087797746e-05,0.00047861412167549133,3.131556047441056e-05,1.6093254089355469e-06,1.6093254089355469e-06,0.0,0.0,0.0,0.0,anisotropic
5,3.357410269938521e-12,0.0051258159801363945,0.993314802646637,0.993314802646637,0.993314802646637,0.0,-1.30852400854857e-13,7.083816497797935e-14,-1.3005927530782745e-16,2.6408259598737806e-15,4.786127006869978e-13,-0.00013085240789223462,7.083816308295354e-05,0.0004786126664839685,3.130338337515082e-05,1.5497207641601562e-06,1.5497207641601562e-06,0.0,0.0,0.0,0.0,anisotropic
6,3.357405933129831e-12,0.0051258220337331295,0.9933163523674011,0.9933163523674011,0.9933164715766907,0.0,-1.3085192651640654e-13,7.083778550721898e-14,-1.300584150399904e-16,2.6408166425113608e-15,4.786109659635218e-13,-0.0001308519276790321,7.08377847331576e-05,0.00047861100756563246,3.129179544986856e-05,1.430511474609375e-06,1.430511474609375e-06,0.0,0.0,0.0,0.0,anisotropic
7,3.3574009457998377e-12,0.005125827621668577,0.9933177828788757,0.9933177828788757,0.9933176636695862,0.0,-1.308513844153203e-13,7.083760932436595e-14,-1.300570253765613e-16,2.640805207566573e-15,4.786089059793941e-13,-0.00013085138925816864,7.083761011017486e-05,0.0004786088829860091,3.128067774693607e-05,1.430511474609375e-06,1.430511474609375e-06,0.0,0.0,0.0,0.0,anisotropic
8,3.3573981268741893e-12,0.005125832743942738,0.9933192133903503,0.9933192133903503,0.9933193325996399,0.0,-1.308511946799401e-13,7.083697235558961e-14,-1.3005739595347573e-16,2.640801819434784e-15,4.786082554580906e-13,-0.00013085120008327067,7.083696982590482e-05,0.00047860827180556953,3.12705217443396e-05,1.3113021850585938e-06,1.3113021850585938e-06,0.0,0.0,0.0,0.0,anisotropic
9,3.357394006905934e-12,0.005125836003571749,0.9933205246925354,0.9933205246925354,0.9933205246925354,0.0,-1.3085078810412543e-13,7.083665387120144e-14,-1.3005666803453668e-16,2.640792713830601e-15,4.786066291548319e-13,-0.00013085079262964427,7.08366569597274e-05,0.0004786066710948944,3.126056567364979e-05,1.3113021850585938e-06,1.3113021850585938e-06,0.0,0.0,0.0,0.0,anisotropic
10,3.357389236416375e-12,0.005125841125845909,0.9933218359947205,0.9933218359947205,0.9933216571807861,0.0,-1.308502731080935e-13,7.083647091208484e-14,-1.300553048408872e-16,2.6407817024022865e-15,4.786046775909214e-13,-0.00013085026876069605,7.083646778482944e-05,0.00047860463382676244,3.125089041002084e-05,1.2516975402832031e-06,1.2516975402832031e-06,0.0,0.0,0.0,0.0,anisotropic
11,3.3573859838098574e-12,0.0051258462481200695,0.9933230876922607,0.9933230876922607,0.9933232665061951,0.0,-1.3085000205755037e-13,7.083601690242511e-14,-1.3005518572687899e-16,2.64077683196284e-15,4.786037560190748e-13,-0.00013085000682622194,7.083601667545736e-05,0.00047860376071184874,3.1241880836882994e-05,1.1920928955078125e-06,1.1920928955078125e-06,0.0,0.0,0.0,0.0,anisotropic
12,3.357382297522471e-12,0.005125849507749081,0.9933242797851562,0.9933242797851562,0.9933242797851562,0.0,-1.3084966324437147e-13,7.083573907561841e-14,-1.3005449751260934e-16,2.6407689969080777e-15,4.786023465562506e-13,-0.00013084965758025646,7.083574018906802e-05,0.00047860233462415636,3.1233116482799884e-05,1.1324882507324219e-06,1.1324882507324219e-06,0.0,0.0,0.0,0.0,anisotropic
13,3.35737839439465e-12,0.005125854164361954,0.993325412273407,0.993325412273407,0.9933252930641174,0.0,-1.3084908048570376e-13,7.083581361451777e-14,-1.3005280344671483e-16,2.640757350205053e-15,4.786002323620142e-13,-0.00013084907550364733,7.083581294864416e-05,0.000478600210044533,3.122440643802185e-05,1.1324882507324219e-06,1.1324882507324219e-06,0.0,0.0,0.0,0.0,anisotropic
14,3.357374924947698e-12,0.005125857889652252,0.9933265447616577,0.9933265447616577,0.9933264255523682,0.0,-1.3084887719779642e-13,7.083535282859446e-14,-1.3005267109781682e-16,2.6407522680073695e-15,4.785993107901676e-13,-0.00013084887177683413,7.083535456331447e-05,0.0004785992787219584,3.1216395893534244e-05,1.1324882507324219e-06,1.1324882507324219e-06,0.0,0.0,0.0,0.0,anisotropic
15,3.3573721060220496e-12,0.005125862546265125,0.9933276772499084,0.9933276772499084,0.9933278560638428,0.0,-1.3084866035736192e-13,7.083493270025262e-14,-1.3005261815825762e-16,2.640748032842633e-15,4.785985518486469e-13,-0.0001308486534981057,7.083493255777285e-05,0.000478598551126197,3.120867099579651e-05,1.0728836059570312e-06,1.0728836059570312e-06,0.0,0.0,0.0,0.0,anisotropic
16,3.357369287096401e-12,0.005125865340232849,0.9933287501335144,0.9933287501335144,0.993328869342804,0.0,-1.308482944391287e-13,7.083467520223666e-14,-1.3005203582310638e-16,2.640741468337292e-15,4.785973050161485e-13,-0.000130848289700225,7.083467789925635e-05,0.00047859729966148734,3.120107190800265e-05,1.0132789611816406e-06,1.0132789611816406e-06,0.0,0.0,0.0,0.0,anisotropic
17,3.3573649502877112e-12,0.005125869065523148,0.9933297634124756,0.9933297634124756,0.9933299422264099,0.0,-1.3084776589056962e-13,7.083472941234528e-14,-1.3005031528743227e-16,2.640730033392504e-15,4.785952450320208e-13,-0.00013084776583127677,7.083472883095965e-05,0.0004785952332895249,3.119344910604421e-05,1.0728836059570312e-06,1.0728836059570312e-06,0.0,0.0,0.0,0.0,anisotropic
